,year,id,journal,authors,title
2300,1994,B432,Nucl.Phys.,Horne & Moore,Chaotic Coupling Constants
2301,1994,B329,Phys.Lett.,Brustein & Veneziano,The Graceful Exit Problem in String Cosmology
2302,1994,A9,Mod.Phys.Lett.,Au & Spence,Covariant Phase Space Formulations of Superparticles and Supersymmetric  WZW Models
2303,1994,A9,Mod.Phys.Lett.,Kirsten & Odintsov,One-loop effective potential in 2D dilaton gravity on hyperbolic plane
2304,1994,B425,Nucl.Phys.,Bartoli & Julve,Gauge fixing in higher derivative field theories
2305,1995,A10,Int.J.Mod.Phys.,Dolan,Co-Variant Derivatives And The Renormalisation Group
2306,1994,B329,Phys.Lett.,Bonini & D'Attanasio & Marchesini,Axial anomalies in gauge theory by exact renormalization group method
2307,1994,A9,Mod.Phys.Lett.,Shapiro,Hilbert - Einstein Action from Induced Gravity coupled with Scalar Field
2308,1995,B433,Nucl.Phys.,Andreev & Feigin,On bosonization of 2d conformal field theories
2309,1995,D51,Phys.Rev.,Kirschner & Lipatov & Szymanowski,Symmetry Properties of the Effective Action for High-Energy Scattering  in QCD
2310,1994,A9,Mod.Phys.Lett.,Aulakh & Soni,Topological Electropoles in 4+1 Dimensional EYMCS Theory
2311,1995,A10,Int.J.Mod.Phys.,Kunitomo & Sakaguchi & Tokura,A Universal w String Theory
2312,1994,B428,Nucl.Phys.,Montague,Orbifold Constructions and the Classification of Self-Dual c=24  Conformal Field Theories
2313,1994,A9,Mod.Phys.Lett.,Sugino & Tsuchiya,Critical behavior in $c=1$ matrix model with branching interactions
2314,1994,B331,Phys.Lett.,Anderegg & Mukhanov,Path Integral Quantization of Cosmological Perturbations
2315,1996,A11,Int.J.Mod.Phys.,Gaite,Unitarity of The Realization of Conformal Symmetry in The Quantum Hall  Effect
2316,1994,B424,Nucl.Phys.,Fateev & Kazakov & Wiegmann,Principal Chiral Field at Large N
2317,1994,B327,Phys.Lett.,Cho & Hyun & Lee,Polyakov's Spin Factor for a Classical Spinning Particle via BRST  Invariant Path Integral
2318,1995,D51,Phys.Rev.,Bak & Bergman,Perturbative Analysis of Nonabelian Aharonov-Bohm Scattering
2319,1994,B329,Phys.Lett.,Aoyama,Instantons in Large Order of the Perturbative Series
2320,1997,A30,J.Phys.,Kirillov & Liskova,Completeness of Bethe's states for generalized $XXZ$ model
2321,1994,B424,Nucl.Phys.,Holzhey & Larsen & Wilczek,Geometric and Renormalized Entropy in Conformal Field Theory
2322,1995,D51,Phys.Rev.,Liao & Polonyi,Renormalization Group and Universality
2323,1995,A10,Mod.Phys.Lett.,Cadoni & Mignemi,Duality of Lorentzian and Euclidean black holes in two-dimensional  string-generated models
2324,1995,B434,Nucl.Phys.,Lledo & Resturccia,Higher Order Action for the Interaction of the String with the Dilaton
2325,1994,D49,Phys.Rev.,Asorey & Falceto & Lopez & Luzon,Renormalization Ambiguities in Chern-Simons Theory
2326,1994,B429,Nucl.Phys.,Asorey & Falceto & Lopez & Luzon,Universalty and Ultraviolet Regularizations of Chern-Simons Theory
2327,1994,B328,Phys.Lett.,Dziarmaga,Travelling waves in multivortex configurations
2328,1994,D50,Phys.Rev.,Strobl,Dirac Quantization Gravity-Yang-Mills Systems in 1+1 Dimensions
2329,1994,A9,Int.J.Mod.Phys.,Kaku,Recent Developments in D=2 String Field Theory
2330,1995,A10,Int.J.Mod.Phys.,Doerrzapf,Singular Vectors of the $N=2$ Superconformal Algebra
2331,1994,D49,Phys.Rev.,Dziarmaga,Low energy dynamics of U(1)^{N} Chern-Simons solitons
2332,1994,D50,Phys.Rev.,Bimonte & Lozano,Z Flux-Line Lattices and Self-Dual Equations in the Standard Model
2333,1995,B433,Nucl.Phys.,Kapetanakis & Koutsoumbas & Lukas & Mayr,Quantum Cosmology with Yang-Mills Fields
2334,1994,B333,Phys.Lett.,Elizalde & Odintsov,Renormalization-Group Improved Effective Potential for Finite Grand  Unified Theories in Curved Spacetime
2335,1994,D50,Phys.Rev.,Fiola & Preskill & Strominger & Trivedi,Black hole thermodynamics and information loss in two dimensions
2336,1994,B337,Phys.Lett.,Rabello & Vaidya,An operator approach to BRST invariant transition amplitudes
2337,1995,A28,J.Phys.,Aizawa,Isomorphisms between Quantum Group Covariant q-Oscillator Systems  Defined for q and 1/q
2338,1994,B429,Nucl.Phys.,Dorn & Otto,Two and three-point functions in Liouville theory
2339,1994,D50,Phys.Rev.,Siegel,Randomizing the Superstring
2340,1994,D50,Phys.Rev.,Nair,Hamiltonian Analysis of the Effective Action for Hard Thermal Loops in  QCD
2341,1994,B329,Phys.Lett.,Lavelle & McMullan,Perturbative and Non-Perturbative Quarks and Gluons
2342,1995,A28,J.Phys.,Hou & Hou & Ma,"q$-Deformed Chern Class, Chern-Simons and Cocycle Hierarchy"
2343,1994,B331,Phys.Lett.,Schmidt & Schubert,Worldline Green Functions for Multiloop Diagrams
2344,1994,D50,Phys.Rev.,Ezawa,"Addendum to ""Classical and Quantum Evolutions of the de Sitter and the  anti-de Sitter Universes in 2+1 dimensions"""
2345,1995,A28,J.Phys.,Delius & Zhang,Finite Dimensional Representations of Quantum Affine Algebras
2346,1995,C65,Z.Phys.,Papenbrock & Wetterich,Two loop results from one loop computations and non perturbative  solutions of exact evolution equations
2347,1995,D51,Phys.Rev.,Liao & Polonyi & Xu,Quantum and Thermal Fluctuations in Field Theory
2348,1994,B329,Phys.Lett.,Burgess & Quevedo,Nonabelian Bosonization as Duality
2349,1994,B428,Nucl.Phys.,Lerda,A Field Theory Approach to the $t$-$J$ Model and the Spin-Charge  Separation
2350,1994,B332,Phys.Lett.,Howe,A note on chiral fermions and heterotic strings
2351,1994,B430,Nucl.Phys.,Behrndt & Foerste,String--Kaluza--Klein Cosmology
2352,1994,A9,Mod.Phys.Lett.,Batalin & Tyutin,On the Multilevel Field--Antifield Formalism with the Most General  Lagrangian Hypergauges
2353,1994,A9,Mod.Phys.Lett.,Bandos & Cederwall & Sorokin & Volkov,Towards a Complete Twistorization of the Heterotic String
2354,1994,B428,Nucl.Phys.,Lerche & Sevrin,On the Landau-Ginzburg Realization of Topological Gravities
2355,1994,B329,Phys.Lett.,West,$W$ Strings and Cohomology in Parafermionic Theories
2356,1994,B429,Nucl.Phys.,Candelas & Font & Katz & Morrison,Mirror Symmetry for Two Parameter Models -- II
2357,1994,B336,Phys.Lett.,Kim & Park,Batalin-Tyutin Quantization of the (2+1) dimensional nonabelian  Chern-Simons field theory
2358,1994,B423,Nucl.Phys.,Antoniadis & Obers,Plane Gravitational Waves in String Theory
2359,1994,D50,Phys.Rev.,Johnson,Exact Models of Extremal Dyonic 4D Black Hole Solutions of Heterotic  String Theory
2360,1995,D51,Phys.Rev.,Larsen,Stable and Unstable Circular Strings in Inflationary Universes
2361,1994,B332,Phys.Lett.,Grisaru & Zanon,Kahler Potentials and Renormalization Group Flows in N=2 Landau-Ginzburg  Models
2362,1995,A10,Int.J.Mod.Phys.,Kuzenko & Lyakhovich & Segal,A Geometric Model of Arbitrary Spin Massive Particle
2363,1994,D50,Phys.Rev.,Intriligator & Leigh & Seiberg,Exact Superpotentials in Four Dimensions
2364,1994,A190,Phys.Lett.,Korepin & Izergin & Essler & Uglov,Correlation Function of the Spin-1/2 XXX Antiferromagnet
2365,1994,B324,Phys.Lett.,Dereli & Onder & Tucker,A Spinor Model for Quantum Cosmology
2366,1995,A10,Int.J.Mod.Phys.,Garay,Quantum gravity and minimum length
2367,1994,D50,Phys.Rev.,Vilenkin,Approaches to Quantum Cosmology
2368,1994,B336,Phys.Lett.,Cornish & Moffat,A Non-singular Theory of Gravity
2369,1994,D49,Phys.Rev.,Corley & Jacobson,Collapse of Kaluza-Klein Bubbles
2370,1995,D51,Phys.Rev.,Reznik,Thermodynamics and Evaporation of the 2+1-D Black Hole
2371,1994,D50,Phys.Rev.,Gasperini & Veneziano,Dilaton Production in String Cosmology
2372,1994,D50,Phys.Rev.,Wanders,Fermion emission in a two-dimensional black hole space-time
2373,1994,D50,Phys.Rev.,de Alwis & MacIntire,The Problem of Time and Quantum Black Holes
2374,1995,B349,Phys.Lett.,Giacomo & Paffuti,Detecting Dual Superconductivity in the Ground State of Gauge Theory
2375,1994,B429,Nucl.Phys.,Perez & Baal,Sphalerons and Other Saddles from Cooling
2376,1994,B427,Nucl.Phys.,Caselle & D'Adda,The Spatial String Tension in High Temperature Lattice Gauge Theories
2377,1994,B425,Nucl.Phys.,Bern & Dixon & Dunbar & Kosower,"One-Loop n-Point Gauge Theory Amplitudes, Unitarity and Collinear Limits"
2378,1994,D50,Phys.Rev.,Collins & Scalise,The Renormalization of Composite Operators in Yang-Mills Theories Using  General Covariant Gauge
2379,1995,A197,Phys.Lett.,Faleev & Silvestrov,Instanton -- Antiinstanton interaction and asymptotics of perturbation  theory expansion in double well oscillator
2380,1994,D50,Phys.Rev.,Farhi & Khoze & Rajagopal & Jr,Spherical Shells of Classical Gauge Field and their Topological Charge  as a Perturbative Expansion
2381,1994,B428,Nucl.Phys.,Faraggi,Proton stability in superstring derived models
2382,1994,B329,Phys.Lett.,Morris,Derivative Expansion of the Exact Renormalization Group
2383,1995,B437,Nucl.Phys.,Gould & Hsu & Poppitz,Quantum Scattering from Classical Field Theory
2384,1994,B327,Phys. Lett.,Duetsch & Hurth & Scharf,Gauge invariance of massless QED
2385,1994,B333,Phys.Lett.,Bonneau,Anomalies in N=2 supersymmetric non-linear sigma models on compact  Kahler Ricci-flat target spaces
2386,1994,B429,Nucl.Phys.,Gross & Matytsin,Instanton Induced Large $N$ Phase Transitions in Two and Four  Dimensional QCD
2387,1996,A11,Int.J.Mod.Phys.,Mironov & Morozov & Semenoff,Unitary matrix integrals in the framework of Generalized Kontsevich  Model. I. Brezin-Gross-Witten Model
2388,1994,D50,Phys.Rev.,Polchinski & Thorlacius,Free Fermion Representation of a Boundary Conformal Field Theory
2389,1994,A9,Mod.Phys.Lett.,Aoyama & Kodama,Topological conformal field theory with a rational W potential and the  dispersionless KP hierarchy
2390,1995,A10,Int.J.Mod.Phys.,Faddeev,Algebraic Aspects of Bethe-Ansatz
2391,1994,A9,Mod.Phys.Lett.,Odintsov & Percacci,Renormalization group effects in the conformal sector of 4d quantom  gravity with matter
2392,1996,C71,Z.Phys.,Chu & Ho & Steinacker,q-deformed Dirac Monopole With Arbitrary Charge
2393,1995,D51,Phys.Rev.,Smilga & Verbaarschot,Spectral sum rules and finite volume partition function in gauge  theories with real and pseudoreal fermions
2394,1994,A9,Mod.Phys.Lett.,Solodukhin,On Exact Integrability of 2D Poincare Gravity
2395,1994,B335,Phys.Lett.,Delduc & Frappat & Ragoucy & Sorba,Gauged W Algebras
2396,1995,A10,Mod.Phys.Lett.,Khoroshkin & Stolin & Tolstoy,Gauss decomposition of trigonometric R-matrices
2397,1994,B328,Phys.Lett.,Meljanac & Milekovic & Pallua,Unified View of Deformed Single - Mode Oscillator Algebras
2398,1995,A28,J.Phys.,Enolskii & Eilbeck,On the Two Gap Locus for the Elliptic Calogero--Moser Model
2399,1994,B332,Phys.Lett.,Fischler,Gravitinos and a Low Ultimate Temperature for the Early Universe
2400,1995,D51,Phys.Rev.,Solodukhin,Exact Solution of 2D Poincare Gravity Coupled to Fermion Matter
2401,1994,B428,Nucl.Phys.,Bernard & Pasquier & Serban,Spinons in Conformal Field Theory
2402,1994,B331,Phys.Lett.,Eguchi & Kanno,Toda Lattice Hierarchy and the Topological Description of the c=1 String  Theory
2403,1994,B334,Phys.Lett.,Dalley,String Theory and Quantum Spin Chains
2404,1994,B426,Nucl.Phys.,Fuchs & Schmidt & Schweigert,On the Configuration Space of Gauge Theorie
2405,1994,B431,Nucl.Phys.,Aspinwall,Minimum Distances in Non-Trivial String Target Spaces
2406,1995,A10,Int.J.Mod.Phys.,Andrianov & Cannata & -P-Dedonder & Ioffe,Second Order Derivative Supersymmetry and Scattering Problem
2407,1994,B427,Nucl.Phys.,Sfetsos & Tseytlin,Four Dimensional Plane Wave String Solutions with Coset CFT Description
2408,1994,B338,Phys.Lett.,Watts,Quantum Mass corrections for C_2^(1) Affine Toda theory solitons
2409,1994,D50,Phys.Rev.,Albrecht,Locating Overlap Information in Quantum Systems
2410,1994,B333,Phys.Lett.,Bertolini & Ceresole & D'Auria & Ferrara,Real Special Geometry
2411,1993,A8,Mod.Phys.Lett.,Hohler & Olaussen,Conservation laws for the classical Toda field theories
2412,1994,B428,Nucl.Phys.,Gregory & Laflamme,The Instability of Charged Black Strings and p-Branes
2413,1995,A10,Int.J.Mod.Phys.,Hohler & Olaussen,On the form of local conservation laws for some relativistic field  theories in 1+1 dimensions
2414,1994,B325,Phys.Lett.,Awada & Zoller,Phase Transition in Rigid String Coupled to Kalb-Ramond Fields
2415,1994,B325,Phys.Lett.,Awada & Zoller,Phase Transition and Absence Of Ghosts in Rigid QED
2416,1994,B336,Phys.Lett.,Solomon,The solution to Wheeler-DeWitt is eight
2417,1994,A9,Mod.Phys.Lett.,Rabello & Vaidya,BFV Quantization of Relativistic Spinning Particles with a Single  Bosonic Constraint
2418,1994,D50,Phys.Rev.,Elizalde & Kirsten & Odintsov,Effective Lagrangian and the back-reaction problem in a self-interacting  $O(N)$ scalar theory in curved spacetime
2419,1994,D50,Phys.Rev.,Ford,Multi-scale Renormalisation Group Improvement of the Effective Potential
2420,1995,B348,Phys.Lett.,Kuzenko & Lyakhovich & Segal,Arbitrary Superspin Massive Superparticles
2421,1994,B331,Phys.Lett.,Kiritsis & Kounnas,Dynamical Topology Change in String Theory
2422,1994,B332,Phys.Lett.,Candiello & Lechner,The supersymmetric version of the Green--Schwarz anomaly cancellation  mechanism
2423,1995,A10,Int.J.Mod.Phys.,Matytsin & Migdal,"Edge Singularity in ``Induced QCD"""
2424,1994,B432,Nucl.Phys.,Ivanov & Sutulin,"Sigma Models in (4,4) Harmonic Superspace"
2425,1995,D51,Phys.Rev.,Gottesman,Traversable Wormholes and Black Hole Complementarity
2426,1995,B348,Phys.Lett.,Elmfors & Skagerstam,Electromagnetic Fields in a Thermal Background
2427,1995,B435,Nucl.Phys.,Chen & Itoi,Spin Transmutation in (2+1) Dimensions
2428,1994,B333,Phys.Lett.,Corrigan & Dorey & Rietdijk & Sasaki,Affine Toda field theory on a half line
2429,1994,B427,Nucl.Phys.,Anselmi & Fre' & Girardello & Soriani,Constrained Topological Gravity from Twisted N=2 Liouville Theory
2430,1994,B332,Phys.Lett.,Blumenhagen & Eholzer & Honecker & Hornfeck & Huebel,Unifying W-Algebras
2431,1994,B331,Phys.Lett.,Kiritsis & Kounnas & Luest,Superstring Gravitational Wave Backgrounds with Spacetime Supersymmetry
2432,1995,B437,Nucl.Phys.,Alvarez & Labastida,Topological Matter in Four Dimensions
2433,1995,A10,Int.J.Mod.Phys.,Dasmahapatra,On State Counting and Characters
2434,1995,A28,J.Phys.,Chim,Boundary S-matrix for the Integrable q-Potts Model
2435,1994,B429,Nucl.Phys.,Nirov & Razumov,Generalized Schroedinger representation in BRST-quantization
2436,1995,A201,Phys.Lett.,Andrianov & Ioffe & Nishnianidze,Polynomial SUSY in Quantum Mechanics and Second Derivative Darboux  Transformation
2437,1994,A9,Mod.Phys.Lett.,Shiraishi,A trial to find an elliptic quantum algebra for $sl_2$ using the  Heisenberg and Clifford algebra
2438,1994,B328,Phys.Lett.,Itzhaki,Time Measurement in Quantum Gravity
2439,1994,A9,Mod.Phys.Lett.,Nishino,$~N=2$~ Superstring Theory Generates Supersymmetric Chern-Simons  Theories
2440,1994,B333,Phys.Lett.,Llatas & Roy,On N=1 Superconformal Algebra in the Non-Critical Bosonic String Theory
2441,1994,B331,Phys.Lett.,Mohammedi,Wess-Zumino-Novikov-Witten Models Based on Lie Superalgebras
2442,1994,B332,Phys.Lett.,Adler,Composite leptons and quarks constructed as triply occupied  quasiparticles in quaternionic quanutm mechanics
2443,1995,A10,Mod.Phys.Lett.,Boulatov,QCD on a Tree
2444,1994,B332,Phys.Lett.,Chamseddine,Connection between Space-Time Supersymmetry and Non-Commutative Geometry
2445,1994,B428,Nucl.Phys.,Orland,Extrinsic Curvature Dependence of Nielsen-Olesen Strings
2446,1995,B433,Nucl.Phys.,Feinberg,Non Trivial Saddle Points and Band Structure of Bound States of the Two  Dimensional O(N) Vector Model
2447,1994,A107,Nuovo Cim.,Dvoeglazov,Comment on ``the Klein-Gordon Oscillator''
2448,1994,A107,Nuovo Cim.,Dvoeglazov,The Dirac-Dowker Oscillator
2449,1994,A9,Mod.Phys.Lett.,Lizzi,The Zero Tension Limit of The Virasoro Algebra and the Central Extension
2450,1994,B427,Nucl.Phys.,Ganor & Sonnenschein & Yankielowicz,Folds in 2D String Theories
2451,1995,B435,Nucl.Phys.,Vilasis-Cardona,Renormalisation Group Flows and Conserved Vector Currents
2452,1995,C67,Z.Phys.,Kirschner,Regge Asymptotics of Scattering with Flavour Exchange in QCD
2453,1994,B341,Phys.Lett.,Langmann & Semenoff,QCD(1+1) with massless quarks and gauge covariant Sugawara construction
2454,1994,B431,Nucl.Phys.,Berkovits,Covariant Quantization of the Green-Schwarz Superstring in a Calabi-Yau  Background
2455,1994,D50,Phys.Rev.,Vilenkin & Winitzki,Detection of Particles Under Potential Barrier
2456,1994,B332,Phys.Lett.,Green,Vacuum Values for Auxiliary String Fields
2457,1994,B430,Nucl.Phys.,Tzani,The Stochastic Quantization Method for Systems with Dissipation
2458,1994,B427,Nucl.Phys.,Aida & Kitazawa & Kawai & Ninomiya,Conformal Invariance and Renormalization Group in Quantum Gravity Near  Two Dimensions
2459,1995,B342,Phys.Lett.,Faddeev & Korchemsky,High energy QCD as a completely integrable model
2460,1994,B427,Nucl.Phys.,Harris & Wheater,Multiple Ising Spins Coupled to 2d Quantum Gravity
2461,1994,B333,Phys.Lett.,Abel & Scheich,"Classification of (2,2) Compactifications by Free Fermions 2"
2462,1996,D53,Phys.Rev.,Chalmers,Extended BPH Renormalization of Cutoff Scalar Field Theories
2463,1995,A28,J.Phys.,Huang & Shaw & Yen,Classical N=2 W-superalgebras From Superpseudodifferential Operators
2464,1994,B426,Nucl.Phys.,Schmidhuber & Tseytlin,On string cosmology and the RG flow in 2d field theory
2465,1994,B8,Int.J.Mod.Phys.,Deser & Schwimmer,"Gauge Field Improvement,Form-Scalar Duality and Conformal Invariance"
2466,1994,B332,Phys.Lett.,Giveon & Witten,Mirror Symmetry as a Gauge Symmetry
2467,1994,B430,Nucl.Phys.,Sethi,"Supermanifolds, Rigid Manifolds and Mirror Symmetry"
2468,1995,B439,Nucl.Phys.,Barvinsky & Gusev & Vilkovisky & Zhytnikov,The one-loop effective action and trace anomaly in four dimensions
2469,1995,A10,Int.J.Mod.Phys.,Fring & Koberle,Boundary Bound States in Affine Toda Field Theory
2470,1994,B334,Phys.Lett.,Evans,Supersymmetry algebras and Lorentz invariance for d=10 Super Yang-Mills
2471,1994,B334,Phys.Lett.,Tseytlin,On `rolling moduli' solutions in string cosmology
2472,1994,B50,Phys.Rev.,Minahan & Polychronakos,Density Correlation Functions in Calogero Sutherland Models
2473,1994,B428,Nucl.Phys.,Balachandran & Chandar,Discrete Time from Quantum Physics
2474,1995,D4,Int.J.Mod.Phys.,Rainer,Conformal Coupling and Invariance in Different Dimensions
2475,1994,B332,Phys.Lett.,Barvinsky & Kamenshchik,Quantum scale of inflation and particle physics of the early universe
2476,1994,D50,Phys.Rev.,Carroll & Farhi & Guth & Olum,Energy-Momentum Restrictions on the Creation of Gott Time Machines
2477,1994,B341,Phys.Lett.,Bimonte & Lizzi & Sparano,Distances on a Lattice from Non-commutative Geometry
2478,1994,B340,Phys.Lett.,Osipov,The Rho-Meson as a Collective Excitation
2479,1995,D51,Phys.Rev.,LO,Scattering from Electroweak Strings
2480,1994,B334,Phys.Lett.,White,The $O(g^4)$ Lipatov Kernels
2481,1994,D50,Phys.Rev.,Makeenko,Exact Multiparticle Amplitudes at Threshold in Large-N Component phi^4  Theory
2482,1994,A9,Mod.Phys.Lett.,Das & Hott,Chiral Invariance of Massive Fermions
2483,1995,D51,Phys.Rev.,Gisiger & Paranjape,Low Energy Nucleon-Nucleon Scattering with the Skyrme Model in the  Geodetic Approximation
2484,1994,B335,Phys.Lett.,Hoppe,Surface Motions and Fluid Dynamics
2485,1995,B347,Phys.Lett.,Dotsenko & Picco & Pujol,Spin--spin critical point correlation functions for the 2D random bond  Ising and Potts models
2486,1995,B347,Phys.Lett.,Bonora & Xiong,Two-matrix model and c=1 string theory
2487,1995,B435,Nucl.Phys.,Lesage & Pasquier & Serban,Dynamical correlation functions in the Calogero-Sutherland model
2488,1995,A10,Int.J.Mod.Phys.,Gerasimov & Khoroshkin & Lebedev & Mironov & Morozov,"Generalized Hirota Equations and Representation Theory. I. The case of  $SL(2)$ and $SL_q(2)$"""
2489,1994,B428,Nucl.Phys.,Koubek,Form-Factor Bootstrap and the Operator Content of Perturbed Minimal  Models
2490,1994,B335,Phys.Lett.,Navarro-Salas & Navarro & Talavera,Canonical Structure of 2D Black Holes
2491,1994,B431,Nucl.Phys.,Soloviev,Perturbed Gauged WZNW Models
2492,1994,B339,Phys.Lett.,Gates & Soloviev,Superspace Supervortices
2493,1994,A9,Mod.Phys.Lett.,Pakuliak & Perelomov,Relation Between Hyperelliptic Integrals
2494,1995,N2,Theor.Math.Phys.,Boldin & Dmitrieva & Safin & Sharipov,Dynamical systems accepting the normal shift on an arbitrary Riemannian  manifold
2495,1994,B432,Nucl.Phys.,Antoniadis & Gava & Narain & Taylor,Effective Mu-Term in Superstring Theory
2496,1995,A10,Int.J.Mod.Phys.,Mallwitz,On SW-minimal models and N=1 supersymmetric Quantum Toda-field theories
2497,1994,D50,Phys.Rev.,Larsen & Sanchez,Strings Propagating in the 2+1 Dimensional Black Hole Anti de Sitter  Spacetime
2498,1994,D50,Phys.Rev.,Caenepeel & MacKenzie,"Parity violation, anyon scattering and the mean field approximation"
2499,1994,B428,Nucl.Phys.,Bauer & Freedman & Haagensen,Spatial Geometry of the Electric Field Representation of Non-Abelian  Gauge Theories
2500,1994,B432,Nucl.Phys.,Delius & Gould & Zhang,On the Construction of Trigonometric Solutions of the Yang-Baxter  Equation
2501,1994,A9,Mod.Phys.Lett.,Bailin & Love & Sabra & Thomas,Anisotropic Solutions For Orbifold Moduli From Duality Invariant Gaugino  Condensates
2502,1994,D50,Phys.Rev.,GHOSH & MITRA,Fermion Scattering off Dilatonic Black Holes
2503,1994,B430,Nucl.Phys.,Fring & Johnson & Kneipp & Olive,Vertex Operators and Soliton Time Delays in Affine Toda Field Theory
2504,1994,D50,Phys.Rev.,Mrowczynski & Mueller,Wigner Functional Approach to Quantum Field Dynamics
2505,1995,A10,Int.J.Mod.Phys.,Kaufmann,Pathspace Decompositions for the Virasoro Algebra and its Verma Modules
2506,1995,D51,Phys.Rev.,Bender & Boettcher,Eleventh-Order Calculation of Green's Functions in the Ising Limit for  Arbitrary Space-Time Dimension $D$
2507,1995,B343,Phys.Lett.,Restuccia & Stephany,Canonical Covariant Formulation of Green-Schwarz Superstring without  Second Class Constraints
2508,1994,A9,Mod.Phys.Lett.,Ito & Kanno,Lie Superalgebra and Extended Topological Conformal Symmetry in  Non-critical $W_{3}$ Strings
2509,1996,A11,Mod.Phys.Lett.,Andrianov & Cannata & Ioffe,Higher-Order Derivative Susy in Quantum Mechanics with Large Energy  Shifts
2510,1994,B338,Phys.Lett.,Danielsson,The Scattering of Strings in a Black-Hole Background
2511,1994,D50,Phys.Rev.,Bassetto & Griguolo,Anomalous dimensions and ghost decoupling in a perturbative approach to  the generalized chiral Schwinger model
2512,1994,D49,Phys.Rev.,Adler & Wu,Algebraic and geometric aspects of generalized quantum dynamics
2513,1995,B435,Nucl.Phys.,Chen,Renormalization Group Flow of Four-fermi with Chern-Simons Interaction
2514,1995,A10,Int.J.Mod.Phys.,Shtykov,"The finite vacuum energy for spinor, scalar and vector fields"
2515,1994,A27,J.Phys.,Bachas & de Calan & Petropoulos,Quenched Random Graphs
2516,1994,D50,Phys.Rev.,Welch,Timelike Duality
2517,1994,B334,Phys.Lett.,Gomez & Lopez,On the Algebraic Structure of the Holomorphic Anomaly for N=2  Topological Strings
2518,1995,A10,Int.J.Mod.Phys.,Plebanski & Garcia-Compean,A q-deformed Version of the Heavenly Equations
2519,1995,B441,Nucl.Phys.,Gurarie,"Probability Density, Diagrammatic Technique, and Epsilon Expansion in  the Theory of Wave Turbulence"
2520,1995,A10,Mod.Phys.Lett.,Zarembo,Collective field approach to gauged principal chiral field at large N
2521,1994,D50,Phys.Rev.,Strominger & Thorlacius,Conformally Invariant Boundary Conditions for Dilaton Gravity
2522,1996,A11,Int.J.Mod.Phys.,Schimmrigk,Mirror Symmetry and String Vacua from a Special Class of Fano Varieties
2523,1995,D51,Phys.Rev.,Braga,BRST quantization of anomalous gauge theories
2524,1994,B8,Int.J.Mod.Phys.,Kedem & McCoy,Quasi-particles in the chiral Potts model
2525,1994,A9,Mod.Phys.Lett.,Bytsenko & Kirsten & Zerbini,Are p-Branes Asymptotically Black Holes?
2526,1995,A10,Int.J.Mod.Phys.,Toppan,"N=1,2 Super-NLS Hierarchies as Super-KP Coset Reductions"
2527,1994,A9,Mod.Phys.Lett.,Pasquinucci & Roland,On the Anomalous Magnetic Moment in Heterotic Superstrings
2528,1994,A9,Mod.Phys.Lett.,Schaller & Strobl,Poisson Structure Induced (Topological) Field Theories
2529,1994,A9,Mod.Phys.Lett.,Brunelli & Das & Huang,Gelfand-Dikii Brackets for Nonstandard Lax Equations
2530,1994,B334,Phys.Lett.,Alfaro & Damgaard,Generalized Lagrangian Master Equations
2531,1994,B333,Phys. Lett.,Costa & O'Raifeartaigh,Non-Trivial Non-Canonical W-Algebras from Kac-Moody Reductions
2532,1995,B437,Nucl.Phys.,Russo & Susskind,Asymptotic level density in heterotic string theory and rotating black  holes
2533,1994,B335,Phys.Lett.,Russo,Thermal ensemble of string gas in a magnetic field
2534,1994,B337,Phys. Lett.,Cangemi & Jackiw,Quantal Analysis of String-Inspired Lineal Gravity with Matter Fields
2535,1994,B424,Nucl.Phys.,Kehrein & Wegner,The structure of the spectrum of anomalous dimensions in the N-vector  model in 4-epsilon dimensions
2536,1994,B332,Phys.Lett.,Duff & Gibbons & Townsend,Macroscopic superstrings as interpolating solitons
2537,1994,A27,J.Phys.,Palev & Stoilova,Wigner quantum oscillators. Osp(3/2) oscillators
2538,1994,D50,Phys.Rev.,Fadin & Fiore & Quartarolo,Quark contribution to the reggeon-reggeon-gluon vertex in QCD
2539,1995,D51,Phys.Rev.,Solodukhin,On Higher Derivative Gravity in Two Dimensions
2540,1994,A27,J.Phys.,Bracken & Delius & Gould & Zhang,Solutions to the Quantum Yang-Baxter Equation with Extra Non-Additive  Parameters
2541,1995,A28,J.Phys.,Celeghini & Rasetti & Vitiello,Identical Particles and Permutation Group
2542,1995,B443,Nucl.Phys.,Balachandran & Chandar & Sathiapalan,Duality and the Fractional Quantum Hall Effect
2543,1995,A10,Int. J. Mod. Phys.,Bougourzi & Vinet,A Quantum Analogue of the Boson-Fermion Correspondence
2544,1994,B334,Phys.Lett.,Fursaev,Spectral Geometry and One-loop Divergences on Manifolds with Conical  Singularities
2545,1994,B334,Phys.Lett.,Berkovits & Ohta,Embeddings for Non-Critical Superstrings
2546,1995,B345,Phys.Lett.,Govindarajan & Jayaraman,A proposal for the geometry of W_n gravity
2547,1995,D51,Phys.Rev.,Andrianov & Soldati,Lorentz Symmetry Breaking in Abelian Vector-Field Models with  Wess-Zumino Interaction
2548,1995,A108,Nuovo Cim.,Vassilevich,Comment on gauge choices and physical variables in QED
2549,1994,B333,Phys.Lett.,Labastida & Marino,"Type B Topological Matter, Kodaira-Spencer Theory, and Mirror Symmetry"
